"ref_id","fault_id","name"
162,"2352abc","East Cache fault zone"
163,"2353abc","Morgan fault"
164,"2358","Hansel Valley fault"
165,"2361","North Promontory fault"
166,"2364abc","Eastern Bear Lake fault"
167,"2369a","Great Salt Lake fault zone, Promontory"
168,"2369b","Great Salt Lake fault zone, Fremont Island"
169,"2369c","Great Salt Lake fault zone, Antelope Island"
2,"2386","West Valley fault"
170,"2395","Stansbury fault zone"
171,"2398_2399","Oquirrh-Southern Oquirrh Mountains fault"
172,"2412","Strawberry fault"
173,"2455","Joes Valley fault zone"
174,"2521a","West Cache fault, Clarkston section"
175,"2521b","West Cache fault zone, Junction Hills fault"
176,"2521c","West Cache fault, Wellsville section"
177,"2534","Paragonah fault"
180,"566","Mill Creek Thrust fault"
181,"567","Horse Heaven Hills structure (NW trend)"
182,"570m","Seattle fault zone-middle"
183,"570n","Seattle fault zone-northern"
184,"570s","Seattle fault zone-southern"
185,"571","Strawberry Point fault"
186,"572","Southern Whidbey Island fault Middle"
187,"572n","Southern Whidbey Island fault North"
188,"572s","Southern Whidbey Island fault South"
189,"573","Utsalady Point fault"
306,"574","Devils Mountain fault"
3,"575","Saddle Mountain fault"
190,"581","Tacoma fault zone"
307,"601abcdef","Lost River fault"
308,"602abcdef","Lemhi fault"
309,"603abcdef","Beaverhead fault"
191,"631","Big Flat-Jakes Creek fault"
192,"632","Squaw Creek fault"
193,"633","Rush Peak fault"
194,"634","Cuddy Mountain-Lick Creek fault"
195,"640","Sawtooth fault"
196,"641bc","Red Rock fault"
197,"642ab","Emigrant fault"
198,"643abcd","Centennial fault"
199,"644ab","Blacktail fault"
200,"645","Sweetwater fault"
201,"648a","Red Rock Hills fault"
202,"655abc","Madison fault"
203,"656","Hebgen-Red Canyon fault"
204,"667","Georgia Gulch fault"
205,"671ab","Canyon Ferry fault"
206,"678a","Helena Valley fault"
207,"696","Thompson Valley fault"
208,"698","Jocko fault"
209,"699ab","Mission fault"
210,"714","Helvetia fault"
211,"726c","Grand Valley fault"
212,"728","Greys River fault"
213,"729","Rock Creek fault"
214,"730","Bear River fault zone"
215,"757abc","Eagle Bay fault"
216,"761","Upper Yellowstone Valley faults"
217,"766","East Mount Sheridan faults"
218,"768abcdef","Teton fault"
219,"772","Hoback fault"
220,"797","Alvin Canyon fault"
221,"798","Daisy Bank fault"
222,"799","Wecoma fault"
223,"801","Wallowa fault"
224,"805","Juniper Mountain fault"
225,"806","Cottonwood Mountain fault"
226,"809a","Pine Valley Graben, Brownlee"
227,"809b","Pine Valley Graben, Halfway-Posey Valley"
310,"827ac","Warner Valley faults (east)"
228,"827b","Warner Valley faults (west)"
229,"829ab","Abert Rim fault"
230,"831abc","Winter Rim fault system"
231,"834","Paulina Marsh fault"
232,"835","Southeast Newberry fault zone"
233,"839a","Chemult graben fault system (west)"
234,"839b","Chemult graben fault system (east)"
235,"843a","Klamath graben fault system (west)"
236,"843bc","Klamath graben fault system (east)"
237,"844","Sky Lakes fault zone"
238,"845a","Hite fault system"
239,"853abc","Metolius fault zone"
311,"856abcdef","Steens fault zone"
240,"858","Tule Springs Rim fault"
241,"865","Mount Hood fault"
242,"871","Turner and Mill Creek faults"
243,"873","Mount Angel fault"
244,"874","Bolton fault"
245,"877","Portland Hills fault"
246,"878","Grant Butte fault"
247,"880","Lacamas Lake fault"
248,"882","Happy Camp fault"
249,"885","Yaquina faults"
250,"886","Waldport fault"
251,"890","South Slough faults"
252,"893","Coquille anticline"
253,"894","Cape Blanco anticline"
254,"895","Beaver Creek fault zone"
255,"896","Battle Rock fault zone"
256,"897","Whaleshead fault zone"
257,"900","East Franklin Mountains fault"
258,"902","Campo Grande fault"
259,"903","Acala fault"
260,"904","Arroyo Diablo fault"
261,"905","Amargosa fault"
262,"906ab","Caballo fault TX"
263,"910","East Sierra Diablo fault"
264,"911","West Delaware Mountains fault zone"
265,"912","East Baylor Mountain - Carizzo Mountain fault"
266,"913","West Eagle Mountains-Red Hills fault"
267,"915","West Indio Mountains fault"
268,"918abcd","West Lobo Valley fault zone"
269,"944","Algodones fault zone"
270,"951","Big Chino-Little Chino fault"
271,"995","Aubrey fault zone"
272,"997a","Sevier/Toroweap fault zone (northern)"
312,"997bcd","Sevier/Toroweap fault zone (southern)"
273,"998ab","Hurricane fault zone (northern)"
274,"998cd","Hurricane fault zone (central)"
